_id,plate,source,last_digit,type
6649a87e4817b6fcfb3f7414,B8C2X4VE,car,4,even
6649a87e4817b6fcfb3f7415,B1M3U8RG,car,8,even
6649a87e4817b6fcfb3f741b,B4B7X8DE,car,8,even
6649a87e4817b6fcfb3f741c,B1N3P8VG,car,8,even
6649a87e4817b6fcfb3f741e,B2G6K4XH,car,4,even
6649a87e4817b6fcfb3f7420,B6P2Z4UA,car,4,even
6649a87e4817b6fcfb3f7424,B3S8Z2UD,car,2,even
6649a87e4817b6fcfb3f7425,B5E2H8VA,car,8,even
6649a87e4817b6fcfb3f7427,B1K7C2TE,car,2,even
6649a87e4817b6fcfb3f7429,B1S5R2MI,car,2,even
6649a87e4817b6fcfb3f742f,B3K5H8ZG,car,8,even
6649a87e4817b6fcfb3f7430,B6S2V4TA,car,4,even
6649a87e4817b6fcfb3f7431,B8K1X4WG,car,4,even
6649a87e4817b6fcfb3f7432,B2J5P8CD,car,8,even
6649a87e4817b6fcfb3f7433,B9F1M4WF,car,4,even
6649a87e4817b6fcfb3f7436,B5Z3X6JD,car,6,even
6649a87e4817b6fcfb3f743c,B2V4C8PC,car,8,even
6649a87e4817b6fcfb3f743d,B8Z1N4KA,car,4,even
6649a87e4817b6fcfb3f743e,B6F3C8SA,car,8,even
6649a87e4817b6fcfb3f7440,B7U1R8ZA,car,8,even
6649a87e4817b6fcfb3f744f,B6J1W4TI,car,4,even
6649a87e4817b6fcfb3f7451,B2K7H4XF,car,4,even
6649a87e4817b6fcfb3f7453,B4V5P2RH,car,2,even
6649a87e4817b6fcfb3f745b,B7K9J4XA,car,4,even
6649a87e4817b6fcfb3f745e,B9H8X4WA,car,4,even
6649a87e4817b6fcfb3f745f,B7K2N4UA,car,4,even
6649a87e4817b6fcfb3f7460,B5S7U8TB,car,8,even
6649a87e4817b6fcfb3f7461,B4B7X2JF,car,2,even
6649a87e4817b6fcfb3f7466,B1N3U8ME,car,8,even
6649a87e4817b6fcfb3f7467,B9H1P4RF,car,4,even
6649a87e4817b6fcfb3f7469,B5P9V2NC,car,2,even
6649a87e4817b6fcfb3f746a,B8M3Z2CA,car,2,even
6649a87e4817b6fcfb3f746d,B9R7T4PA,car,4,even
6649a87e4817b6fcfb3f7474,B5F3V2MH,car,2,even
